id,title,description,cost,picture,google ratings,user ratings,hotness,group size,outdoor rating,indoor rating,photogenic,season,kid rating,adult rating,family rating,friend rating,crowd rating,category,alcohol
40,Green-O'Keefe,Automated motivating projection,$$,http://dummyimage.com/159x100.png/5fa2dd/ffffff,2.09,,,6,4.34,4.56,1.54,,,1.5,,4.08,3.27,Decentralized,true
41,Johnston-McKenzie,Right-sized exuding knowledge base,$$$,,4.4,,2.46,3,,2.47,1.4,,,4.98,,1.38,3.64,analyzing,
42,"Walter, Sawayn and Hermann",Profound regional customer loyalty,$$,http://dummyimage.com/114x100.png/ff4444/ffffff,3.87,,,5,,,,spring,3.88,4.75,,2.77,,throughput,true
43,Greenholt-Schiller,Networked optimal open system,$$$,,4.06,1.62,,,,,,winter,3.23,4.25,2.12,,,throughput,
44,Lang Inc,Assimilated context-sensitive open architecture,$$$,http://dummyimage.com/110x100.png/5fa2dd/ffffff,,,4.23,,3.47,2.18,,spring,,,,1.06,3.79,needs-based,
45,Dach-Stokes,User-centric needs-based local area network,free,http://dummyimage.com/146x100.png/dddddd/000000,3.49,4.43,,,,,1.52,fall,,2.08,,1.93,,contextually-based,true
46,"Legros, Koch and Goldner",Right-sized full-range middleware,free,http://dummyimage.com/200x100.png/dddddd/000000,1.87,,4.77,6,,4.35,4.03,winter,,,3.29,1.2,1.01,,true
47,Heathcote Inc,Fundamental system-worthy intranet,$$,http://dummyimage.com/239x100.png/ff4444/ffffff,3.31,,2.26,5,,,,spring,,,,,,human-resource,
48,"MacGyver, Shanahan and Bartell",Future-proofed holistic synergy,free,http://dummyimage.com/214x100.png/ff4444/ffffff,3.31,,2.46,4,3.43,,1.35,summer,,,4.0,4.95,1.49,migration,false
49,Blick-Mertz,Proactive mobile migration,$,,1.67,4.8,,3,3.56,,,,,,3.8,1.67,,mobile,true
50,Boyer-Marquardt,Up-sized global system engine,$$$,http://dummyimage.com/204x100.png/dddddd/000000,2.31,4.82,,5,1.88,2.33,1.15,winter,1.57,2.26,2.79,,,Profound,false
51,Ernser-Spencer,Implemented directional process improvement,$,http://dummyimage.com/156x100.png/cc0000/ffffff,2.09,,,5,4.37,3.45,1.38,spring,1.76,2.33,,,,methodical,
52,Labadie-Jacobs,Open-architected asymmetric groupware,$,http://dummyimage.com/220x100.png/dddddd/000000,2.19,1.98,4.69,3,2.76,3.02,,fall,4.31,,1.22,,4.11,standardization,
53,Borer Inc,Virtual real-time protocol,$$,http://dummyimage.com/192x100.png/cc0000/ffffff,4.37,,,,3.53,,2.3,summer,3.5,,,4.43,,,
54,Moen-Moore,Stand-alone empowering middleware,$$,,3.77,,,8,,,3.13,summer,,2.8,3.9,1.27,,capability,
55,"Nienow, Kshlerin and Wiza",Self-enabling radical core,,http://dummyimage.com/148x100.png/dddddd/000000,1.95,,1.98,4,2.98,,3.27,summer,,,1.72,,,,false
56,"Bogisich, Bogan and Keebler",Upgradable asymmetric system engine,,,3.09,1.68,,5,4.35,2.48,1.57,,1.11,,,,1.43,Proactive,
57,O'Connell and Sons,Intuitive interactive parallelism,$$,http://dummyimage.com/160x100.png/dddddd/000000,4.43,2.81,2.94,4,,2.37,3.88,spring,,3.05,1.85,,,fresh-thinking,false
58,"Green, Sipes and Gleason",Digitized user-facing knowledge user,free,http://dummyimage.com/122x100.png/dddddd/000000,2.53,4.07,2.42,4,3.25,4.01,5.0,summer,,,,,,Reactive,true
59,"O'Connell, Wolff and Cartwright",Self-enabling encompassing superstructure,$,http://dummyimage.com/173x100.png/dddddd/000000,4.37,,2.25,5,,4.72,3.86,winter,,4.6,4.23,1.92,,time-frame,
60,"Rath, Simonis and Nikolaus",Ameliorated fault-tolerant array,free,,1.88,,,,4.87,1.18,3.56,fall,2.98,,,2.86,3.12,toolset,
61,"Frami, Krajcik and Dibbert",Multi-layered zero administration access,free,http://dummyimage.com/185x100.png/ff4444/ffffff,4.94,,,1,1.15,,,spring,3.84,,3.34,3.35,4.51,Ameliorated,
62,Marquardt-Deckow,Decentralized bandwidth-monitored support,free,http://dummyimage.com/148x100.png/5fa2dd/ffffff,3.17,,,2,1.54,3.48,4.93,winter,,,2.89,,1.11,Enhanced,
63,Feest Group,Upgradable clear-thinking circuit,free,http://dummyimage.com/109x100.png/ff4444/ffffff,,,4.6,6,4.78,1.78,1.13,summer,,,,1.98,,dynamic,false
64,"Funk, Zulauf and Predovic",User-friendly well-modulated interface,free,,1.67,,,7,2.68,2.17,2.57,summer,3.01,1.49,3.24,,,,true
65,Beatty-Pollich,Multi-layered disintermediate approach,$$$,http://dummyimage.com/169x100.png/5fa2dd/ffffff,2.84,,3.09,4,,4.6,1.25,,1.65,,,2.21,3.29,Quality-focused,
66,"Legros, Boyer and Heathcote",Expanded holistic data-warehouse,$$,http://dummyimage.com/246x100.png/cc0000/ffffff,3.34,3.49,3.29,,3.86,3.98,3.03,summer,3.13,,1.87,,,Integrated,true
67,Schinner-Runolfsson,Expanded non-volatile approach,$$,http://dummyimage.com/175x100.png/cc0000/ffffff,,,1.25,,3.24,,2.62,,3.23,,,,4.92,access,false
68,Ritchie Group,Open-architected system-worthy toolset,free,http://dummyimage.com/233x100.png/dddddd/000000,2.94,4.41,1.11,,2.07,3.76,,fall,,,,1.95,1.99,Horizontal,true
69,Ratke-Jacobi,Persistent 5th generation open architecture,$$$,,4.67,3.25,,3,3.49,2.69,,winter,4.85,2.54,4.24,1.35,,Self-enabling,true
70,Walsh-Dickinson,Devolved exuding access,$$$,,2.26,3.77,2.31,3,4.75,3.58,1.68,fall,4.26,,,,,migration,
71,"O'Connell, Lakin and Kilback",Organic real-time instruction set,,http://dummyimage.com/201x100.png/5fa2dd/ffffff,1.1,,1.5,2,1.37,,,,4.38,4.37,2.18,4.38,1.81,asymmetric,
72,Hilll-Daugherty,Object-based 3rd generation orchestration,$,,1.71,,,7,2.75,,4.7,winter,,2.21,2.59,,,,true
73,"Cummerata, Hermann and Lindgren",Right-sized grid-enabled artificial intelligence,$,http://dummyimage.com/155x100.png/cc0000/ffffff,4.01,4.59,,4,,2.95,1.34,,,2.22,,2.26,1.82,portal,
74,Bartoletti Group,Optional optimal challenge,$$,http://dummyimage.com/160x100.png/5fa2dd/ffffff,2.03,1.1,1.65,3,,2.2,4.35,spring,,4.43,2.64,4.98,,next generation,
75,Strosin-Jerde,Progressive optimizing application,,http://dummyimage.com/177x100.png/dddddd/000000,3.37,3.22,1.36,3,2.26,2.58,2.5,fall,,,,,2.42,24 hour,false
76,"Reilly, Kshlerin and Christiansen",Realigned analyzing infrastructure,$$,http://dummyimage.com/163x100.png/ff4444/ffffff,1.09,,1.72,,,1.97,,summer,2.97,3.47,,,,Multi-layered,false
77,Lind Group,Organized asymmetric core,$,http://dummyimage.com/127x100.png/cc0000/ffffff,1.78,4.48,1.16,,1.76,4.4,1.0,fall,4.71,,,,,,true
78,"Hoppe, O'Kon and Weimann",Visionary cohesive projection,$$$,http://dummyimage.com/118x100.png/cc0000/ffffff,4.82,,4.13,,3.41,4.84,4.06,fall,3.45,4.9,4.82,,,Polarised,false
79,Kuphal-Cruickshank,Pre-emptive zero administration task-force,$$,http://dummyimage.com/134x100.png/dddddd/000000,2.38,,1.92,,,3.95,3.56,spring,,,,3.85,3.57,mobile,
80,Powlowski LLC,Persistent maximized adapter,$$$,http://dummyimage.com/139x100.png/dddddd/000000,3.88,,3.55,,,4.07,1.14,summer,,,1.98,,2.68,Focused,
81,"Hettinger, Goyette and O'Hara",Upgradable bottom-line monitoring,$$$,,4.85,2.07,2.67,,2.48,4.07,4.4,,,,,,,model,false
82,Hyatt-Johnson,Monitored optimal projection,$,http://dummyimage.com/110x100.png/dddddd/000000,1.11,,3.3,7,2.18,1.67,4.56,summer,,,,,,,false
83,Cormier-Maggio,Managed client-server application,$$,http://dummyimage.com/122x100.png/cc0000/ffffff,,1.79,,4,,,2.93,,,2.43,,4.31,,local area network,false
84,Hackett LLC,Digitized exuding knowledge base,$,http://dummyimage.com/236x100.png/5fa2dd/ffffff,4.71,4.52,,,,2.76,2.42,summer,2.64,4.2,,2.41,,Organic,true
85,"Stroman, Friesen and Breitenberg",Profound stable adapter,$$,http://dummyimage.com/128x100.png/dddddd/000000,3.1,2.52,,,,1.11,3.68,,,,4.57,,,,false
86,"Champlin, Hauck and Kulas",Advanced intangible matrices,free,http://dummyimage.com/119x100.png/cc0000/ffffff,3.27,2.9,,,3.77,2.91,,spring,,4.56,,3.02,4.08,,
87,Effertz Group,Self-enabling homogeneous contingency,$$,http://dummyimage.com/119x100.png/dddddd/000000,2.61,,3.96,,2.77,2.55,3.7,,,3.95,1.52,,1.11,24/7,false
88,Schuster-Greenholt,Programmable bi-directional analyzer,$$,http://dummyimage.com/203x100.png/cc0000/ffffff,1.7,,4.05,3,2.13,3.77,,,,,3.09,,4.68,,
89,Davis LLC,Progressive zero defect knowledge user,$,http://dummyimage.com/173x100.png/dddddd/000000,2.27,2.9,1.29,3,,3.77,3.55,,,,,,1.06,task-force,true
90,Watsica-Trantow,Automated bottom-line workforce,$$,,4.7,,,5,2.6,,2.95,winter,,4.65,4.15,2.97,1.02,,true
91,VonRueden Inc,Extended national instruction set,$$,http://dummyimage.com/142x100.png/5fa2dd/ffffff,3.28,,,5,2.94,2.96,2.3,summer,4.56,,2.67,,3.52,,
92,"Turcotte, Mosciski and Price",Re-engineered regional leverage,$$,http://dummyimage.com/232x100.png/ff4444/ffffff,3.14,2.27,,,,4.0,,spring,,,4.21,,,client-server,true
93,"Tremblay, Hansen and Rowe",User-centric systemic hierarchy,$,http://dummyimage.com/216x100.png/dddddd/000000,2.47,,4.5,4,4.91,3.35,3.75,,2.33,2.37,1.74,4.58,3.04,architecture,false
94,"Wisoky, Larkin and Pfeffer",Pre-emptive executive firmware,$$,http://dummyimage.com/212x100.png/cc0000/ffffff,1.63,3.32,,,1.99,,,,2.85,3.43,,,2.04,,true
95,Stoltenberg-Haley,Team-oriented zero defect solution,$$$,http://dummyimage.com/224x100.png/ff4444/ffffff,3.66,2.99,,3,,2.3,,fall,2.83,3.23,4.44,3.29,1.99,Re-contextualized,
96,Swift and Sons,Compatible foreground customer loyalty,$$,,4.63,1.91,,5,,3.76,2.75,,4.51,1.99,,,,Organized,false
97,Carroll and Sons,Reactive intermediate knowledge base,$,http://dummyimage.com/147x100.png/5fa2dd/ffffff,3.37,2.8,,,4.33,,,winter,,,,,,holistic,false
98,Purdy-Ryan,Grass-roots zero administration throughput,free,http://dummyimage.com/193x100.png/dddddd/000000,1.93,,1.56,6,1.12,,1.85,summer,,,,,,,
99,"Price, Okuneva and Bayer",Adaptive national task-force,$$,http://dummyimage.com/144x100.png/ff4444/ffffff,4.5,,1.19,4,4.37,4.34,4.14,spring,3.82,,2.3,3.61,,,
100,Huel-Swift,Multi-layered fresh-thinking internet solution,free,http://dummyimage.com/212x100.png/dddddd/000000,4.18,,,5,4.39,2.15,3.68,spring,,,1.84,,3.54,Visionary,false
101,Hodkiewicz-Farrell,Visionary dynamic array,$,,1.87,1.56,,5,1.59,3.42,,spring,,1.73,,,1.97,contingency,true
102,Treutel-Medhurst,Stand-alone discrete approach,free,,4.28,,2.02,4,1.79,,3.2,spring,4.81,4.97,,4.21,4.72,local area network,false
103,Oberbrunner-Hauck,Implemented composite structure,$$,http://dummyimage.com/124x100.png/ff4444/ffffff,3.08,4.4,4.13,4,4.5,3.09,4.72,summer,,,,3.56,,adapter,
104,Kuhlman and Sons,Persevering reciprocal budgetary management,$,http://dummyimage.com/198x100.png/dddddd/000000,2.8,1.07,2.77,4,,,4.57,spring,,2.27,,,3.08,product,false
105,Satterfield and Sons,Open-source scalable migration,$$,,2.48,1.3,,,1.32,3.82,3.23,summer,,3.59,3.07,,4.6,database,
106,Dach-Larkin,Reverse-engineered tertiary system engine,,,3.26,2.67,,4,2.99,2.1,2.55,fall,1.17,,2.43,,2.42,full-range,true
107,Considine Group,Total radical database,$$,http://dummyimage.com/234x100.png/ff4444/ffffff,2.93,,4.84,,3.35,2.65,2.69,spring,,,,,4.62,core,
108,Prohaska and Sons,Implemented bandwidth-monitored superstructure,$$$,http://dummyimage.com/244x100.png/5fa2dd/ffffff,4.43,1.8,4.8,5,2.72,4.7,,,,3.94,4.22,4.03,,Polarised,
109,Runolfsdottir Group,Expanded didactic flexibility,,,1.43,,,,1.0,1.74,4.98,,,1.36,,4.31,,,true
110,Morissette-Rippin,Stand-alone coherent moratorium,$,http://dummyimage.com/126x100.png/cc0000/ffffff,3.95,4.01,4.63,7,1.29,2.51,,fall,,,,4.13,1.23,,true
111,"Heidenreich, Rau and Hintz",Distributed fresh-thinking knowledge user,free,http://dummyimage.com/164x100.png/cc0000/ffffff,4.27,,,4,1.95,4.81,3.78,,1.28,2.42,,3.21,3.62,incremental,false
112,Kirlin and Sons,Implemented multimedia data-warehouse,$,http://dummyimage.com/116x100.png/dddddd/000000,3.39,4.79,,3,3.55,4.88,,summer,,,,1.2,,Polarised,false
113,"Spinka, Heathcote and Schimmel",Cross-platform analyzing attitude,$,,4.56,4.15,,4,4.14,,1.22,,,,,2.68,,Graphical User Interface,true
114,Quitzon and Sons,Customer-focused optimizing contingency,$,,1.29,2.67,,,1.81,,3.86,summer,4.7,,1.28,,,functionalities,false
115,Lubowitz-Trantow,Networked scalable archive,$$$,,2.81,2.32,2.29,,4.11,2.96,3.08,spring,2.88,4.32,,1.16,2.65,real-time,true
116,D'Amore-Breitenberg,Switchable 24/7 strategy,$,,4.6,4.95,,3,,1.02,,,3.68,,1.22,,4.2,Persevering,
117,Witting LLC,Up-sized even-keeled solution,$,,4.45,3.33,4.93,,,2.34,,spring,2.82,1.39,1.82,2.83,,,
118,Hauck LLC,Streamlined tangible throughput,$$$,http://dummyimage.com/170x100.png/dddddd/000000,1.74,,,3,,4.29,3.9,winter,,4.19,4.59,2.87,,global,false
119,Bogisich Inc,Grass-roots neutral model,free,http://dummyimage.com/180x100.png/cc0000/ffffff,2.32,1.6,,3,3.52,,3.34,winter,,,,,2.19,functionalities,
120,"Langworth, Ernser and Hayes",Exclusive clear-thinking collaboration,$$,,3.03,1.18,2.93,,,4.03,,,4.97,,,4.15,4.57,software,
121,Hirthe-Gutkowski,Managed homogeneous internet solution,$,http://dummyimage.com/164x100.png/dddddd/000000,4.93,,,5,3.54,3.44,2.73,winter,4.57,4.87,1.52,3.2,4.54,Total,
122,Cremin Inc,Enterprise-wide modular neural-net,$$,http://dummyimage.com/109x100.png/5fa2dd/ffffff,3.78,,1.57,-2,2.39,,,,3.41,3.86,,2.46,1.35,initiative,true
123,Fadel Inc,Synergized optimizing encryption,$$,,2.9,2.98,,5,4.36,,2.16,winter,1.43,,4.7,,,Grass-roots,true
124,Dach-Bartoletti,Down-sized fault-tolerant emulation,$$$,http://dummyimage.com/187x100.png/cc0000/ffffff,4.16,4.97,1.2,6,,1.24,4.09,spring,,,,,,,
125,Bednar LLC,Organized systemic firmware,$,http://dummyimage.com/145x100.png/ff4444/ffffff,2.04,4.32,,5,2.79,1.71,2.33,fall,,,2.6,3.22,,Persevering,true
126,Satterfield-Cremin,Re-contextualized 3rd generation matrices,$,,,2.64,,,,,,fall,,,3.6,,,,
127,"Smith, Murray and Durgan",Visionary explicit alliance,$,http://dummyimage.com/217x100.png/dddddd/000000,4.21,,,6,,1.95,,winter,,4.32,1.39,,1.29,algorithm,true
128,Vandervort and Sons,Advanced intermediate complexity,$$$,http://dummyimage.com/249x100.png/5fa2dd/ffffff,1.91,,2.87,4,,1.81,,summer,,,3.09,,,regional,
129,Lemke Group,Managed zero defect initiative,$$,http://dummyimage.com/141x100.png/dddddd/000000,1.01,1.05,,5,1.84,,3.27,summer,,3.86,1.3,,4.69,projection,
130,"Gusikowski, Bosco and Okuneva",Reactive intermediate hardware,free,http://dummyimage.com/211x100.png/dddddd/000000,1.23,,,5,4.61,4.74,2.11,winter,2.05,4.03,,3.22,2.34,mission-critical,true
131,Ebert Inc,Secured content-based focus group,$$$,http://dummyimage.com/176x100.png/dddddd/000000,4.34,,4.46,,3.11,4.66,,spring,2.54,,1.41,2.08,,,true
132,DuBuque-Brakus,Decentralized heuristic middleware,$$$,http://dummyimage.com/169x100.png/cc0000/ffffff,2.8,,1.09,5,3.06,2.07,1.34,,1.67,,3.7,1.86,4.41,budgetary management,false
133,"Barrows, Heathcote and Williamson",Advanced static groupware,$$$,http://dummyimage.com/118x100.png/cc0000/ffffff,1.42,,,,2.42,2.69,2.42,fall,,1.49,1.41,3.6,,heuristic,true
134,Kulas-Wiza,Automated maximized firmware,$$,http://dummyimage.com/230x100.png/cc0000/ffffff,4.16,4.44,2.2,0,2.71,,3.84,winter,,4.72,4.88,2.46,,,true
135,Yundt-Aufderhar,Profit-focused bi-directional function,free,,3.69,,,0,3.55,,,summer,,,4.48,,1.86,Cross-platform,true
136,Wisoky-Schuppe,Multi-tiered 24/7 interface,free,http://dummyimage.com/191x100.png/dddddd/000000,1.28,,2.07,-2,1.01,4.73,4.55,fall,,,3.76,3.26,3.21,Inverse,
137,"Heaney, Rath and Larson",Customer-focused responsive archive,free,http://dummyimage.com/206x100.png/5fa2dd/ffffff,2.9,,4.5,4,,3.99,,winter,,,3.53,,2.01,approach,
138,Langworth Group,Upgradable well-modulated database,,http://dummyimage.com/127x100.png/dddddd/000000,3.53,,4.81,2,,2.74,,spring,2.71,,,2.46,1.64,,true
139,O'Kon-Sawayn,Secured value-added knowledge base,$,http://dummyimage.com/128x100.png/cc0000/ffffff,3.22,,,5,,4.83,1.25,winter,,4.57,1.26,4.82,1.93,,false
140,Kerluke-Hammes,Up-sized multimedia support,$$$,http://dummyimage.com/106x100.png/ff4444/ffffff,1.28,,,4,,2.96,3.37,fall,4.15,,,,4.72,array,true
141,Kohler-Crooks,Multi-tiered asynchronous capacity,$$,,4.53,1.55,1.09,,2.01,1.9,3.47,,,,,3.87,4.16,Synchronised,
142,D'Amore-Koss,User-centric exuding interface,,http://dummyimage.com/124x100.png/5fa2dd/ffffff,1.68,3.17,,,,,,spring,,,,,1.87,,
143,"Stoltenberg, O'Hara and Russel",Total mobile synergy,$$$,http://dummyimage.com/130x100.png/dddddd/000000,1.61,2.8,,0,4.41,1.5,2.93,winter,2.12,,2.39,2.26,,upward-trending,false
144,Lehner Inc,Enterprise-wide exuding access,$,http://dummyimage.com/204x100.png/ff4444/ffffff,1.53,2.03,,,1.51,2.4,,fall,,,4.4,2.45,,hub,
145,Bailey and Sons,Digitized composite solution,,http://dummyimage.com/135x100.png/cc0000/ffffff,,,,-1,1.32,,1.04,fall,,,1.09,3.76,,conglomeration,
146,Cole-Koepp,Expanded well-modulated system engine,$$$,http://dummyimage.com/217x100.png/dddddd/000000,2.67,3.76,,4,,4.51,3.97,,,1.32,2.66,1.45,,capability,true
147,"Davis, Von and Marks",Monitored static open system,$$$,http://dummyimage.com/239x100.png/ff4444/ffffff,3.83,,1.65,4,2.14,4.86,3.77,fall,1.61,3.25,,,2.35,zero tolerance,false
148,Hermiston Group,Horizontal grid-enabled budgetary management,$,http://dummyimage.com/159x100.png/ff4444/ffffff,3.12,4.21,2.69,3,,4.92,2.61,summer,,1.4,4.72,4.13,4.31,modular,
149,"Nikolaus, Sauer and Friesen",Distributed interactive throughput,$$,http://dummyimage.com/162x100.png/dddddd/000000,2.55,,,4,1.3,1.12,,fall,,,4.59,,3.18,Ameliorated,
150,"Vandervort, Kilback and Gleichner",Seamless local attitude,$$$,http://dummyimage.com/190x100.png/5fa2dd/ffffff,2.02,,,6,,2.41,2.65,,,3.91,4.56,,2.43,zero defect,false
151,Wolf Inc,Ameliorated intangible info-mediaries,free,http://dummyimage.com/233x100.png/5fa2dd/ffffff,2.07,1.41,,0,4.48,3.05,4.61,spring,,,,,3.96,utilisation,true
152,Swift Group,Advanced intangible standardization,$$,http://dummyimage.com/144x100.png/cc0000/ffffff,3.94,,,2,4.14,2.64,1.35,fall,,1.73,,,1.19,software,true
153,Crona and Sons,Programmable web-enabled adapter,$$$,,,,1.05,,2.62,4.35,1.12,spring,,3.93,,1.41,,instruction set,
154,Dickinson-Hyatt,Stand-alone national access,free,http://dummyimage.com/141x100.png/5fa2dd/ffffff,3.4,3.3,,,4.45,2.9,3.94,winter,,,,2.16,,Synergized,
155,Kub-Hilll,Networked interactive pricing structure,$,,1.29,3.29,,3,2.33,3.08,,fall,1.87,,1.57,2.88,1.55,time-frame,true
